0.858133 0.565317 0,1,2,3,4 2,3,3,3,1
0.858133 0.565317 0,1,2,3,4 2,4,3,2,1
0.858133 0.565317 0,1,2,3,4 2,3,2,3,2
0.858133 0.565317 0,1,2,3,4 1,2,3,4,2
0.858133 0.565317 0,1,2,3,4 2,3,2,3,2
0.858133 0.565317 0,1,2,3,4 1,3,4,3,1
0.858133 0.565317 0,1,2,3,4 2,3,3,3,1
0.858133 0.565317 0,1,2,3,4 2,3,2,3,2
0.858133 0.565317 0,1,2,3,4 1,3,4,3,1
0.858133 0.565317 0,1,2,3,4 2,4,3,2,1
0.858133 0.565317 0,1,2,3,4 2,3,3,3,1
0.858133 0.565317 0,1,2,3,4 1,2,3,4,2
0.858133 0.565317 0,1,2,3,4 1,2,3,4,2
0.858133 0.565317 0,1,2,3,4 1,3,3,3,2
0.858133 0.565317 0,1,2,3,4 2,3,2,3,2
0.858133 0.565317 0,1,2,3,4 2,3,3,3,1
0.858133 0.565317 0,1,2,3,4 1,3,3,3,2
0.858133 0.565317 0,1,2,3,4 1,3,3,3,2
0.858133 0.565317 0,1,2,3,4 1,3,3,3,2
0.858133 0.565317 0,1,2,3,4 2,4,3,2,1
0.858133 0.565317 0,1,2,3,4 2,3,2,3,2
0.858133 0.565317 0,1,2,3,4 2,4,3,2,1
0.858133 0.565317 0,1,2,3,4 1,2,3,4,2
0.858133 0.565317 0,1,2,3,4 2,3,3,3,1
0.858133 0.565317 0,1,2,3,4 1,3,4,3,1
0.858133 0.565317 0,1,2,3,4 1,3,3,3,2
0.858133 0.565317 0,1,2,3,4 1,2,3,4,2
0.880047 0.558938 0,2,3,4 2,4,4,2
0.880047 0.558938 0,2,3,4 2,4,4,2
0.87262 0.557724 0,1,3,4 1,5,5,1
0.87262 0.557724 0,1,3,4 1,5,5,1
0.874857 0.553952 0,1,3,4 4,5,5,4
0.874857 0.553952 0,1,3,4 4,5,5,4
0.888651 0.546062 0,1,3,4 2,4,6,4
0.888651 0.546062 0,1,3,4 4,6,4,2
0.888651 0.546062 0,1,3,4 2,4,6,4
0.888651 0.546062 0,1,3,4 4,6,4,2
0.87652 0.543592 0,1,2,4 1,5,6,2
0.87652 0.543592 0,1,2,4 1,5,6,2
0.87652 0.543592 0,1,2,4 4,5,3,2
0.87652 0.543592 0,1,2,4 4,5,3,2
0.888587 0.541736 0,1,4 1,5,4
0.854729 0.540581 0,1,2,3,4 1,2,5,5,1
0.854729 0.540581 0,1,2,3,4 4,5,2,2,1
0.854729 0.540581 0,1,2,3,4 1,5,5,2,1
0.854729 0.540581 0,1,2,3,4 1,5,5,2,1
0.854729 0.540581 0,1,2,3,4 1,2,5,5,1
0.854729 0.540581 0,1,2,3,4 1,2,2,5,4
0.854729 0.540581 0,1,2,3,4 4,5,2,2,1
0.854729 0.540581 0,1,2,3,4 1,2,2,5,4
0.854729 0.540581 0,1,2,3,4 1,5,5,2,1
0.854729 0.540581 0,1,2,3,4 1,5,5,2,1
0.854729 0.540581 0,1,2,3,4 1,2,2,5,4
0.854729 0.540581 0,1,2,3,4 1,2,5,5,1
0.854729 0.540581 0,1,2,3,4 4,5,2,2,1
0.854729 0.540581 0,1,2,3,4 1,2,5,5,1
0.854729 0.540581 0,1,2,3,4 4,5,2,2,1
0.854729 0.540581 0,1,2,3,4 1,2,2,5,4
0.854729 0.540581 0,1,2,3,4 4,5,2,2,1
0.854729 0.540581 0,1,2,3,4 1,5,5,2,1
0.854729 0.540581 0,1,2,3,4 1,2,2,5,4
0.854729 0.540581 0,1,2,3,4 1,2,5,5,1
0.87652 0.534481 0,2,3,4 2,3,5,4
0.87652 0.534481 0,2,3,4 2,6,5,1
0.87652 0.534481 0,2,3,4 2,6,5,1
0.87652 0.534481 0,2,3,4 2,3,5,4
0.888587 0.532655 0,3,4 4,5,1
0.869909 0.530845 0,1,2,3,4 1,3,4,4,2
0.869909 0.530845 0,1,2,3,4 2,4,3,3,2
0.869909 0.530845 0,1,2,3,4 2,3,3,4,2
0.869909 0.530845 0,1,2,3,4 2,4,4,3,1
0.869909 0.530845 0,1,2,3,4 2,4,4,3,1
0.869909 0.530845 0,1,2,3,4 2,4,3,3,2
0.869909 0.530845 0,1,2,3,4 2,4,3,3,2
0.869909 0.530845 0,1,2,3,4 1,3,4,4,2
0.869909 0.530845 0,1,2,3,4 2,3,3,4,2
0.869909 0.530845 0,1,2,3,4 2,3,3,4,2
0.869909 0.530845 0,1,2,3,4 1,3,4,4,2
0.869909 0.530845 0,1,2,3,4 2,4,4,3,1
0.869909 0.530845 0,1,2,3,4 2,4,4,3,1
0.869909 0.530845 0,1,2,3,4 2,3,3,4,2
0.869909 0.530845 0,1,2,3,4 2,4,3,3,2
0.869909 0.530845 0,1,2,3,4 2,4,3,3,2
0.869909 0.530845 0,1,2,3,4 2,3,3,4,2
0.869909 0.530845 0,1,2,3,4 2,4,4,3,1
0.869909 0.530845 0,1,2,3,4 1,3,4,4,2
0.869909 0.530845 0,1,2,3,4 1,3,4,4,2
0.884676 0.523715 0,1,3,4 1,5,6,2
0.884676 0.523715 0,1,3,4 2,6,5,1
0.884676 0.523715 0,1,3,4 2,6,5,1
0.884676 0.523715 0,1,3,4 1,5,6,2
0.87262 0.521347 0,1,2,4 1,2,5,4
0.87262 0.521347 0,1,2,4 1,2,5,4
0.902317 0.52126 0,4 4,4
0.874857 0.517821 0,1,2,4 4,8,5,1
0.874857 0.517821 0,1,2,4 4,8,5,1
0.895056 0.515464 0,2,4 2,6,4
0.895056 0.515464 0,2,4 4,6,2
0.87262 0.512609 0,2,3,4 4,5,2,1
0.87262 0.512609 0,2,3,4 4,5,2,1
0.888651 0.510445 0,1,2,4 4,6,4,2
0.888651 0.510445 0,1,2,4 2,6,6,2
0.888651 0.510445 0,1,2,4 4,6,4,2
0.888651 0.510445 0,1,2,4 2,6,6,2
0.874857 0.509141 0,2,3,4 1,5,8,4
0.874857 0.509141 0,2,3,4 1,5,8,4
0.900953 0.508702 0,1,4 2,6,4
0.866438 0.507618 0,1,2,3,4 2,3,5,5,1
0.866438 0.507618 0,1,2,3,4 4,5,3,3,1
0.866438 0.507618 0,1,2,3,4 1,3,6,5,1
0.866438 0.507618 0,1,2,3,4 2,3,5,5,1
0.866438 0.507618 0,1,2,3,4 4,6,3,2,1
0.866438 0.507618 0,1,2,3,4 4,5,2,3,2
0.866438 0.507618 0,1,2,3,4 1,2,3,6,4
0.866438 0.507618 0,1,2,3,4 1,2,5,6,2
0.866438 0.507618 0,1,2,3,4 4,5,3,3,1
0.866438 0.507618 0,1,2,3,4 1,5,6,3,1
0.866438 0.507618 0,1,2,3,4 1,5,5,3,2
0.866438 0.507618 0,1,2,3,4 1,5,6,3,1
0.866438 0.507618 0,1,2,3,4 1,5,6,3,1
0.866438 0.507618 0,1,2,3,4 2,6,5,2,1
0.866438 0.507618 0,1,2,3,4 2,6,5,2,1
0.866438 0.507618 0,1,2,3,4 2,3,2,5,4
0.866438 0.507618 0,1,2,3,4 2,3,5,5,1
0.866438 0.507618 0,1,2,3,4 2,6,5,2,1
0.866438 0.507618 0,1,2,3,4 1,3,6,5,1
0.866438 0.507618 0,1,2,3,4 1,3,3,5,4
0.866438 0.507618 0,1,2,3,4 4,6,3,2,1
0.866438 0.507618 0,1,2,3,4 1,3,6,5,1
0.866438 0.507618 0,1,2,3,4 4,5,2,3,2
0.866438 0.507618 0,1,2,3,4 1,3,3,5,4
